기업명,연도,predicted_top30,predicted_probability,y,일치여부
(주) 아인스시스템,2023,0,0.1847780583836369,0.0,1
(주)구비테크,2023,0,0.3949757829594342,0.0,1
(주)글로벌엔지니어링,2023,0,0.1659041828670102,0.0,1
(주)기연,2023,0,0.1510275832633682,0.0,1
(주)나노에이스,2023,1,0.5193225695487277,0.0,0
(주)나노엑스,2023,0,0.1798856164791432,0.0,1
(주)나노테크,2023,0,0.2238504479046277,0.0,1
(주)나인텍,2023,0,0.2436453011402909,1.0,0
(주)남원정공,2023,0,0.1966993837926373,0.0,1
(주)대신테크,2023,0,0.275026333181897,0.0,1
(주)대원에프엔씨,2023,0,0.2171004407541552,0.0,1
(주)동원파츠,2023,0,0.289939529785283,0.0,1
(주)드림솔,2023,0,0.1476888695845128,0.0,1
(주)디스텍,2023,0,0.1886730919159593,0.0,1
(주)라온테크,2023,0,0.1838305292075043,1.0,0
(주)리빙케어,2023,0,0.0955209586358203,0.0,1
(주)린텍,2023,0,0.374409064119319,1.0,0
(주)메티스,2023,1,0.6841570214084329,0.0,0
(주)무진산업,2023,0,0.2031238630146456,0.0,1
(주)바코솔루션,2023,0,0.1518341596212608,0.0,1
(주)밸류엔지니어링,2023,0,0.1110201360786204,0.0,1
(주)보부하이테크,2023,0,0.2375961359180062,1.0,0
(주)브이에스아이,2023,0,0.3254892376910073,0.0,1
(주)세미즈,2023,1,0.7557705374935022,0.0,0
(주)셀코스,2023,0,0.1864795633774933,1.0,0
(주)셈텍,2023,0,0.2259172973547681,1.0,0
(주)시트라,2023,0,0.2322621318624033,0.0,1
(주)신안시스템,2023,0,0.1405642754013719,0.0,1
(주)쎄미하우,2023,0,0.327091182415163,0.0,1
(주)쎌텍,2023,0,0.1009951857384158,0.0,1
(주)씨앤아이테크놀로지,2023,0,0.3658009398680699,0.0,1
(주)씨에스케이,2023,0,0.3626874286602002,0.0,1
(주)씨티에스,2023,0,0.2234250257213595,0.0,1
(주)아론,2023,0,0.1421215915046514,0.0,1
(주)아센디아,2023,1,0.4732029917155694,1.0,1
(주)아이비스,2023,0,0.1580789327584531,0.0,1
(주)알파플러스,2023,1,0.4306273834646901,0.0,0
(주)애플티,2023,0,0.246926698304069,0.0,1
(주)앤피에스,2023,0,0.1815161115381406,0.0,1
(주)에스아이,2023,0,0.1520653616911608,0.0,1
(주)에스에스피,2023,1,0.4175720198519573,0.0,0
(주)에스엔에프,2023,1,0.5759200038399236,1.0,1
(주)에스와이텍,2023,0,0.1245221562258577,0.0,1
(주)에이씨에스,2023,1,0.7624965073712728,1.0,1
(주)에이알케이,2023,0,0.2383065202486394,0.0,1
(주)에이앤아이,2023,0,0.3693923842135917,1.0,0
(주)에이엠에스티,2023,1,0.6894145233296329,0.0,0
(주)에이치앤이루자,2023,1,0.4412196969684194,1.0,1
(주)에이치에스테크놀로지,2023,1,0.451919162486425,1.0,1
(주)에이티에스,2023,0,0.2063560327285548,0.0,1
(주)에코파워팩,2023,0,0.2873425708608428,0.0,1
(주)삼양엔씨켐,2023,0,0.3109926639826342,0.0,1
(주)엔지온,2023,0,0.2378567048843135,0.0,1
(주)엔티에스,2023,1,0.5848308966124365,0.0,0
(주)엘케이엔지니어링,2023,0,0.3603500585934883,1.0,0
(주)엘콤,2023,1,0.7171771482924723,0.0,0
(주)엠에스텍,2023,0,0.3041232183469471,0.0,1
(주)엠엑스앤,2023,0,0.2429973594523924,1.0,0
(주)엠케이테크,2023,0,0.1355547495154701,1.0,0
(주)영상테크,2023,0,0.1889355545058799,0.0,1
(주)예리코코리아,2023,0,0.1486611743842296,1.0,0
(주)예스히팅테크닉스,2023,0,0.2914593252406979,0.0,1
(주)예승이엔지,2023,0,0.3159866498411753,0.0,1
(주)와이에이치이코퍼레이션,2023,1,0.4210722697593663,1.0,1
(주)와이컴,2023,0,0.3299005884379759,0.0,1
(주)웨이브피아,2023,0,0.2062605626438352,1.0,0
(주)위드텍,2023,0,0.2229895700877073,0.0,1
(주)윌비에스엔티,2023,1,0.4044975034846434,0.0,0
(주)유니젯,2023,0,0.323052021128098,0.0,1
(주)은일,2023,0,0.1835638340512122,0.0,1
(주)이노맥스,2023,0,0.3631170062405143,0.0,1
(주)이솔루션,2023,1,0.4105246030693911,0.0,0
(주)정수이앤씨,2023,0,0.1275286628487523,0.0,1
(주)제이솔루션,2023,1,0.412297624398898,0.0,0
(주)제일하이텍,2023,0,0.2573493710051959,0.0,1
(주)준테크,2023,1,0.7820762733278765,0.0,0
(주)지에스엠,2023,0,0.2713482145220099,0.0,1
(주)케이제이,2023,0,0.0980536758552218,0.0,1
(주)코스텍시스,2023,0,0.3304277049765589,1.0,0
(주)코윈디에스티,2023,0,0.3373816937912314,0.0,1
(주)탑텍,2023,0,0.2651082347515897,0.0,1
(주)태산에프에이,2023,0,0.1077078300344701,0.0,1
