기업명,연도,bsnsr_reg_no,crno,dart_corp_code,sectors,field,매출액,영업이익,당기순이익,자산,부채,자본,연구개발비,CAPEX,유형자산_당기,유형자산_전기,유형자산_증감,종업원_합계
주식회사 세미노바,2023,856-81-00417,1.35E+12,1729379,반도체,장비,"46,117,000,000","3,611,468,385","2,647,628,456","13,959,934,685","9,564,015,532","4,395,919,153",,,"3,929,023,393","3,985,571,589","56,548,196",11
주식회사 세미노바,2024,856-81-00417,1.35E+12,1729379,반도체,장비,"25,293,052,367","1,520,537,630","1,290,260,914","13,814,319,774","8,128,139,707","5,686,180,067",,,"4,129,246,432","3,929,023,393","200,223,039",10
주식회사 소닉스비오엠,2019,107-88-09580,1.10E+12,,반도체,장비,"446,979,000","30,906,000","3,461,000","2,037,884,000","1,278,389,000","759,495,000",,,,,,4
주식회사 소닉스비오엠,2020,107-88-09580,1.10E+12,,반도체,장비,"1,633,328,000","187,496,000","132,369,000","1,970,660,000","1,078,796,000","891,864,000",,,,,,4
주식회사 소닉스비오엠,2021,,,,,,,,,,,,,,,,,
주식회사 소닉스비오엠,2022,,,,,,,,,,,,,,,,,
주식회사 소닉스비오엠,2023,,,,,,,,,,,,,,,,,
주식회사 소닉스비오엠,2024,,,,,,,,,,,,,,,,,
주식회사 소프트피브이,2019,112-87-01069,1.31E+12,,반도체,부품,,"-707,428,000","-714,378,000","1,655,097,000","621,882,000","1,033,215,000",,,,,,
주식회사 소프트피브이,2020,112-87-01069,1.31E+12,,반도체,부품,"36,768,000","-983,183,000","-700,042,000","2,904,884,000","518,811,000","2,386,073,000",,,,,,4
주식회사 소프트피브이,2021,112-87-01069,1.31E+12,,반도체,부품,"7,920,000","-1,388,683,000","-1,093,363,000","2,601,174,000","585,374,000","2,015,800,000",,,,,,4
주식회사 소프트피브이,2022,112-87-01069,1.31E+12,,반도체,부품,,"-2,337,142,000","-2,123,531,000","5,317,847,000","685,578,000","4,632,269,000",,,,,,
주식회사 소프트피브이,2023,112-87-01069,1.31E+12,,반도체,부품,,"-2,543,644,000","-2,419,778,000","4,687,902,000","2,175,411,000","2,512,491,000",,,,,,
주식회사 소프트피브이,2024,112-87-01069,1.31E+12,,반도체,부품,"4,000,000","-1,926,000,000","-1,957,000,000","4,571,000,000","2,676,000,000","1,895,000,000",,,,,,4
주식회사 신우이엔지,2019,125-86-07403,1.10E+12,489605,반도체,부품,"22,173,000,000","1,865,187,959","1,867,596,730","19,253,700,557","5,367,662,072","13,886,038,485","835,028,749",,"4,638,845,013","3,111,527,165","1,527,317,848",185
주식회사 신우이엔지,2020,125-86-07403,1.10E+12,489605,반도체,부품,"31,214,000,000","1,682,199,748","1,676,418,752","20,288,405,681","6,725,948,444","13,562,457,237","1,182,138,346",,"4,646,881,394","4,638,845,013","8,036,381",184
주식회사 신우이엔지,2021,125-86-07403,1.10E+12,489605,반도체,부품,"37,117,078,949","4,250,450,122","3,850,498,288","24,711,853,686","9,298,898,161","15,412,955,525","1,257,781,361",,"4,566,343,457","4,646,881,394","80,537,937",217
주식회사 신우이엔지,2022,125-86-07403,1.10E+12,489605,반도체,부품,"24,974,218,999","2,707,564,191","2,336,168,646","24,802,101,203","9,052,977,032","15,749,124,171","1,129,428,376",,"4,189,858,318","4,566,343,457","376,485,139",196
주식회사 신우이엔지,2023,125-86-07403,1.10E+12,489605,반도체,부품,"25,503,000,000","2,698,077,039","2,041,068,609","22,602,622,594","6,812,429,814","15,790,192,780","1,103,076,391",,"4,082,947,270","4,189,858,318","106,911,048",196
주식회사 신우이엔지,2024,125-86-07403,1.10E+12,489605,반도체,부품,"31,312,029,827","2,772,427,377","2,536,445,215","24,799,557,893","6,472,919,898","18,326,637,995","946,526,315",,"4,692,867,460","4,082,947,270","609,920,190",196
주식회사 쎄닉,2019,584-87-02337,1.10E+12,1639793,반도체,소재,,,,,,,,,,,,
주식회사 쎄닉,2020,584-87-02337,1.10E+12,1639793,반도체,소재,,,,,,,,,,,,
주식회사 쎄닉,2021,584-87-02337,1.10E+12,1639793,반도체,소재,,,,,,,,,,,,
주식회사 쎄닉,2022,584-87-02337,1.10E+12,1639793,반도체,소재,"111,000,000",-,-,"50,191,361","516,990","67,591,441","6,215,827",,"9,121,430","6,860,772,547","6,851,651,117",24
주식회사 쎄닉,2023,584-87-02337,1.10E+12,1639793,반도체,소재,"469,000,000",-,-,"70,640,422,231","11,710,694","58,929,728","6,916,226",,"9,121,429","5,499,503,374","5,490,381,945",25
주식회사 쎄닉,2024,584-87-02337,1.10E+12,1639793,반도체,소재,"684,000,000",-,-,"28,710,294,562","19,404,284","9,306,011","6,514,318",,"180,000",-,"180,000",25
주식회사 씨디큐세미텍,2019,135-86-37146,1.35E+12,,반도체,부품,"3,479,909,000","232,556,000","207,800,000","4,578,790,000","1,923,424,000","2,655,366,000",,,,,,
주식회사 씨디큐세미텍,2020,135-86-37146,1.35E+12,,반도체,부품,"3,784,146,000","589,442,000","504,031,000","5,043,406,000","2,034,009,000","3,009,397,000",,,,,,
주식회사 씨디큐세미텍,2021,,,,,,,,,,,,,,,,,
주식회사 씨디큐세미텍,2022,135-86-37146,1.35E+12,,반도체,부품,"4,173,480,000","459,381,000","423,049,000","4,908,046,000","1,457,842,000","3,450,204,000",,,,,,
주식회사 씨디큐세미텍,2023,135-86-37146,1.35E+12,,반도체,부품,"2,229,997,000","-325,964,000","-409,226,000","4,696,908,000","1,655,929,000","3,040,979,000",,,,,,
주식회사 씨디큐세미텍,2024,135-86-37146,1.35E+12,,반도체,부품,"2,510,212,000","-264,038,000","-348,850,000","4,461,158,000","1,769,029,000","2,692,129,000",,,,,,
주식회사 아이브이웍스,2019,134-86-80219,1.31E+12,1600135,반도체,소재,,,,,,,,,,,,
주식회사 아이브이웍스,2020,134-86-80219,1.31E+12,1600135,반도체,소재,,,,,,,,,,,,
주식회사 아이브이웍스,2021,134-86-80219,1.31E+12,1600135,반도체,소재,"220,000,000",-,-,"3,889,984","2,467,618","1,422,366","3,115,300",,"3,159,074","484,762","2,674,312",54
주식회사 아이브이웍스,2022,134-86-80219,1.31E+12,1600135,반도체,소재,"110,000,000",-,-,"12,936,891,091","63,499,468,044","-50,562,000,000","3,115,300",,"1,132","10,640,302,981","10,640,301,849",43
주식회사 아이브이웍스,2023,134-86-80219,1.31E+12,1600135,반도체,소재,"123,000,000",-,"6,790,799,930","12,199,763,789","55,139,312,886","-42,939,000,000","1,970,131",,"1,132","11,553,857,579","11,553,856,447",39
주식회사 아이브이웍스,2024,134-86-80219,1.31E+12,1600135,반도체,소재,"464,000,000",-,"6,790,799,930","10,094,229,291","71,001,959,852","-60,098,000,000","3,947,474",,"1,132","9,419,586,666","9,419,585,534",36
주식회사 아이큐랩,2019,264-86-01096,1.36E+12,1839418,반도체,부품,,,,,,,,,,,,
주식회사 아이큐랩,2020,264-86-01096,1.36E+12,1839418,반도체,부품,,,,,,,,,,,,
주식회사 아이큐랩,2021,264-86-01096,1.36E+12,1839418,반도체,부품,,,,,,,,,,,,
주식회사 아이큐랩,2022,264-86-01096,1.36E+12,1839418,반도체,부품,,,,"11,224,050,338","9,661,841,689","1,562,208,649",,,"2,403,771,067",-,"2,403,771,067",
주식회사 아이큐랩,2023,264-86-01096,1.36E+12,1839418,반도체,부품,"17,749,871,873","1,284,795,512","2,620,232,198","31,472,193,302","27,282,380,613","4,189,812,689","113,340,000",,"12,262,676,809","2,403,771,067","9,858,905,742",
주식회사 아이큐랩,2024,264-86-01096,1.36E+12,1839418,반도체,부품,"36,836,000,000","4,166,633,559","4,009,605,329","80,192,957,436","72,026,193","6,897,072","151,123,000",,"27,416,994,419","12,262,676,809","15,154,317,610",54
주식회사 에너지테크솔루션,2019,697-88-01096,1.10E+12,1754870,이차전지,소재,,,,,,,,,,,,
주식회사 에너지테크솔루션,2020,697-88-01096,1.10E+12,1754870,이차전지,소재,,,,,,,,,,,,
주식회사 에너지테크솔루션,2021,697-88-01096,1.10E+12,1754870,이차전지,소재,,,,,,,,,,,,
주식회사 에너지테크솔루션,2022,697-88-01096,1.10E+12,1754870,이차전지,소재,,,,,,,,,,,,
주식회사 에너지테크솔루션,2023,697-88-01096,1.10E+12,1754870,이차전지,소재,"43,126,065,852","12,263,955,943","9,511,375,329","45,526,028,372","22,521,403,515","32,892,744,880","536,127,659",,"29,312,813,822","19,875,542,157","9,437,271,665",36
주식회사 에너지테크솔루션,2024,697-88-01096,1.10E+12,1754870,이차전지,소재,"32,106,000,000","3,139,523,778","1,043,091,042","49,598,775,551","16,062,939,629","33,535,835,922","659,915,278",,"30,153,599,425","29,312,813,822","840,785,603",79
주식회사 에스비티엘첨단소재,2019,536-88-00754,1.35E+12,1424401,이차전지,소재,"23,414,430",-,-,"6,723,644,802","4,123,045,110","2,600,599,692","1,697,754,150",,"5,503,129,212","1,397,387,110","4,105,742,102",26
주식회사 에스비티엘첨단소재,2020,536-88-00754,1.35E+12,1424401,이차전지,소재,"110,093,710",-,-,"10,917,384,150","7,792,651,313","3,124,732,837","3,534,953,944",,"6,889,794,883","5,503,129,212","1,386,665,671",44
주식회사 에스비티엘첨단소재,2021,536-88-00754,1.35E+12,1424401,이차전지,소재,"285,019,032",-,-,"14,384,649,329","6,249,792","8,134,857","1,992,205",,"9,544,982,947","7,797,750,584","1,747,232,363",78
주식회사 에스비티엘첨단소재,2022,536-88-00754,1.35E+12,1424401,이차전지,소재,"323,306,276",-,-,"22,371,377,775","9,973,577","12,397,801","2,821,682",,"16,020,955,839","9,544,982,947","6,475,972,892",81
주식회사 에스비티엘첨단소재,2023,536-88-00754,1.35E+12,1424401,이차전지,소재,"813,189,267",-,-,"21,947,466,083","18,954,906","2,992,560","3,932,823",,"17,726,816,904","16,020,955,839","1,705,861,065",90
주식회사 에스비티엘첨단소재,2024,536-88-00754,1.35E+12,1424401,이차전지,소재,"1,016,595,981",-,"-10,429,211","21,947,466","18,954,906","2,992,560","5,745,502",,"17,058,403,125","17,985,556,478","927,153,353",86
주식회사 에스에프이,2019,312-86-08044,1.10E+12,1077249,반도체,장비,"14,063,000,000","752,406,527","374,624,886","13,461,000,000","8,976,851,416","4,484,317,864","1,153,226,862",,"369,039,820","544,171,567","175,131,747",27
주식회사 에스에프이,2020,312-86-08044,1.10E+12,1077249,반도체,장비,"25,229,000,000","1,700,059,019","447,368,191","16,371,000,000","10,625,022,079","5,746,298,723","576,613,437",,"544,873,099","369,039,820","175,833,279",43
주식회사 에스에프이,2021,312-86-08044,1.10E+12,1077249,반도체,장비,"32,018,168,325","4,033,101,260","1,261,980,859","17,531,000,000","7,126,915,428","10,404,541,402","171,951,183",,"632,326,911","544,873,099","87,453,812",43
주식회사 에스에프이,2022,312-86-08044,1.10E+12,1077249,반도체,장비,"10,036,147,335","459,035,630","5,458,242,679","14,632,000,000","6,943,496,870","7,688,063,006","576,614",,"833,217,701","632,326,911","200,890,790",46
주식회사 에스에프이,2023,312-86-08044,1.10E+12,1077249,반도체,장비,"10,235,000,000","520,605,719","-1,116,478,396","18,650,000,000","8,900,140,682","9,749,763,100",7,,"652,567,246","833,217,701","180,650,455",39
주식회사 에스에프이,2024,312-86-08044,1.10E+12,1077249,반도체,장비,"7,681,000,000",-,"2,061,700,094","19,953,000,000","7,910,549,872","12,042,132,274","131,390,820",,"607,154,368","652,567,246","45,412,878",49
주식회사 에스이에이,2019,317-81-16582,1.10E+12,1210598,반도체,장비,"36,116,000,000","936,492,600","278,614,280","3,685,908","3,548,057","137,851","369,000,623",,"7,567,512,382","7,973,181,625","405,669,243",75
주식회사 에스이에이,2020,317-81-16582,1.10E+12,1210598,반도체,장비,"24,611,000,000","947,282,623","117,167,147","28,719,967,175","17,353,615,026","11,366,352,149","610,197,024",,"7,788,639,535","7,567,512,382","221,127,153",74
