기업명,연도,revenue_t1,cagr_2y,growth_recent,growth_acceleration,growth_volatility,profitable_years,capex_intensity,capex_trend,capex_vs_industry,operating_margin,debt_ratio,rnd_intensity,growth_rate,target_year,target_top30,predicted_proba,predicted_target
주식회사 포시스,2023,14048743982.0,-0.0014792396228777,0.0084230504140738,0.0197073437523658,2.030036466435773,0,0.0065279516885995,-0.089537255270414,-7533498689.456044,-0.0341990492257231,5.6615524725809685,0.3229110303961976,0.03122858787676064,2024,0.0,0.560695,1
주식회사 피에스디이,2023,21753850053.0,-0.1825955759797306,-0.2385048207820752,-0.1159233660893688,0.1169340595389518,2,0.1118119559100557,4.841548813827746,-3381928250.611872,0.0264042668125676,1.4067754325397197,0.0561182381980998,0.33691277310193923,2024,1.0,0.5707807,1
주식회사 한탑,2023,25524605804.0,-0.2598095083590056,-0.4362781661502861,-0.4081794320178775,0.4157940287613846,1,0.3116434028827754,-0.5894492322845218,2140306236.3881285,-0.11617271866096,0.9707265159212946,0.1115646534119536,0.046581403847328895,2024,0.0,0.5828256,1
주식회사 한텍시스템,2023,5381891455.0,-0.1472183615671848,-0.4068178474982084,-0.6328097620913572,0.1856500290366348,1,0.0022179089080123,-0.9983121577407388,-5802332228.611872,-0.0184727603355203,3.509014059317454,0.0571318516121949,0.5266915300505628,2024,1.0,0.56014466,1
주식회사미코세라믹스,2023,128253000000.0,0.1490152037291432,0.0527469280208821,-0.2013397886059811,0.2376750087882264,2,0.050598370455272,-0.5708717809478238,675124032.3881283,0.2351101702026463,0.739457538943953,0.0950355547238661,0.7166849898247993,2024,1.0,0.53147143,0
주식회사아테코,2023,18562096896.0,0.0227717983269191,-0.3832702188304587,-1.0794136245683337,0.3089806756466681,1,0.0067102332617841,-0.217116386652336,-7500652211.456044,-0.235004338542162,6.573710773375607,0.1672361388582636,0.040904131319539516,2024,0.0,0.5322647,0
주식회사이에스이,2023,13645946773.0,-0.2920469184608596,-0.260440055012026,0.0618629319771965,0.288748256736848,1,0.0115132676107793,-0.8772316766464285,-7468098774.456044,-0.0714577322644522,0.7152329876468018,0.0238801804976086,0.0514871106188215,2024,0.0,0.5836941,1
주식회사일만,2023,3342551025.0,0.007009981495726,-0.0223221305191116,-0.0595442406712591,0.0461040046294132,0,0.035173323045981,-0.0419517888897004,-7507639584.456044,-0.1744517470754242,54.22644196999229,0.0192592910380478,-0.014495419707168167,2024,0.0,0.5525563,1
주식회사효광,2023,9140231650.0,-0.269830494676228,-0.4624142203272873,-0.4541582854871714,0.3673332580191837,1,0.6519469990675784,3.290971536249496,144677821.38812828,-0.1230167670859851,0.7823562937368757,0.0,0.798102702572095,2024,1.0,0.5845544,1
진영테크,2023,5156391887.0,0.0140561229669868,0.0107798184763456,-0.0065632286740375,0.0532740408499424,2,0.2596126507325722,0.0732348233167161,-4475604207.611872,0.0670301578263266,11.667005054911556,0.0119169293852393,0.007736182368250688,2024,0.0,0.5345953,0
케이에스엠컴포넌트,2023,146533000000.0,0.1034427721989976,-0.0265399461579652,-0.2773215747544987,0.1702028083530083,2,0.0716043278851862,-0.3368269396790628,4678128204.388128,0.1053483341022158,0.9328470326262648,0.00017605961797,0.1386447471900527,2024,0.0,0.53864074,0
케이에스티주식회사,2023,17374636793.0,-0.0032597142127536,0.2593054137131261,0.4703854372779559,0.1921488681083643,2,0.0080603130107687,-0.0081657601382455,-7485163200.456044,0.0274528846664679,1.9926749541670896,0.0061303394291909,0.009631813141983026,2024,0.0,0.5341963,0
코리아 이엔티,2023,1972329946.0,-0.0234451226684201,-0.0736310779124155,-0.1030907302192015,0.0627142263564772,0,0.0,-1.0,-5814268773.611872,-0.3902767635613438,3.7852970777215376,0.0002551804281128,0.0976794984990812,2024,0.0,0.561847,1
크라이오에이치앤아이,2023,2578603225.0,-0.1166820687828239,-0.0776026407940805,0.0765031685704433,0.0671024841764444,0,0.1307497852834648,2.758647565742282,-5477116955.611872,-0.4924834304432393,1.6614026294788973,0.0153423274338765,0.7818160469414599,2024,1.0,0.57223374,1
탑이엔지,2023,33954264584.0,0.3011660142327639,-0.598527117463092,-3.8155815443924967,1.2339055976284956,1,0.0072766411826933,2.8466945716133982,-7378135211.456044,-0.0519091412402595,1.1360266342531704,0.0,-0.22945530184362428,2024,0.0,0.5266213,0
트리노테크놀로지,2023,14690730626.0,-0.2570558710004786,-0.4086063559914904,-0.3419372843957786,0.2644002561672114,1,0.1890995792328675,-0.4382975199310092,-3036257793.611872,-0.3268182969404343,1.184537914380336,0.0411337608308277,0.1550462878251131,2024,0.0,0.5799096,1
티에스테크놀로지(주),2023,2731746557.0,-0.0047722250726676,0.0433898594183144,0.0941010436931963,0.3464585208967278,0,0.1004610677724741,0.0823076508221742,-7350774035.456044,-0.1184637605457042,0.3555018359656073,0.0834923702623705,-0.08630485774599628,2024,0.0,0.5604669,1
플라텍(주),2023,17159002188.0,-0.0700671442773319,-0.3090488383737659,-0.5606208222997608,0.1520544554931386,2,0.0040810065313105,-0.9868924766042706,-5744242773.611872,0.0768435886045939,0.4653904681894107,0.0340488768868265,0.14435558576548613,2024,0.0,0.5495342,1
플렉스 주식회사,2023,6295851523.0,-0.4253137505743265,-0.6235422429549199,-0.5008366514199813,0.2901022092565805,1,0.0321160937899075,-0.7885077505947502,-5612070615.611872,-0.1483460395449354,4.474393266910608,0.1755371420311685,1.3877432285500868,2024,1.0,0.60934824,1
피닉슨컨트롤스㈜,2023,16010000000.0,-0.2006974567872058,-0.8193797312695315,-3.3565495078233427,1.3337411771888,2,0.0037102435977514,-0.4470519241152049,-7565807211.456044,0.0103793813241723,1.0722108211196058,0.0886600794503435,0.4356027482823235,2024,1.0,0.57596874,1
피에스케이홀딩스(주),2023,94716683944.0,0.0772201764085334,0.3012143338634707,0.4094294232129346,0.5758846863597741,2,0.1922416647395039,0.6770075031344032,12394224226.388128,0.2847518938368462,0.1761713665844507,0.0438839476523217,1.275291807432958,2024,1.0,0.55971664,1
하나레이저테크(주),2023,8011000000.0,0.0773476989018817,-0.0322585594518841,-0.2316265059891197,0.099492424430146,2,0.0209564601173386,-0.6692889892219823,-5646386571.611872,0.1023815486206466,1.115777401175882,0.0510514105604793,-0.2464000939957558,2024,0.0,0.52963436,0
