기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,영업이익,당기순이익,매출액
(주)에스엠랩,01475274,2301110296432.0,2024,20180706,28202,,0,,,100,100,0,,,,,,,
(주)에스엠아이,00511959,1101110651904.0,2024,19890928,46741,,0,,,0,0,0,,,,,,,
(주)에스엠티,00960119,1101110838461.0,2024,20030701,4791,,0,,,0,0,0,,,,,,,
(주)에스와이텍,01412770,1101113267500.0,2024,20181204,29299,,0,,,0,0,0,,,,,,,
(주)에스이아이,00281739,1101111743990.0,2024,19990729,64201,,0,,,0,0,0,,,,,,,
(주)에스피반도체통신,00263168,1211110066499.0,2024,19990330,2612,,0,,,228,216,12,,,,,,,
(주)에이씨에스,00489924,1101111583536.0,2024,20031213,30,,0,,,0,0,0,,,,,,,
(주)에이알케이,01382965,1101112046369.0,2024,20170901,71531,,0,,,0,0,0,,,,,,,
(주)에이앤아이,00611310,1101111183021.0,2024,20000131,29271,,0,,,0,0,0,,,,,,,
(주)에이엠에스티,00552628,1101111604043.0,2024,19981105,2612,,0,,,0,0,0,,,,,,,
(주)에이치앤이루자,00975546,1601110225361.0,2024,20070525,29272,,0,,,0,0,0,,,,,,,
(주)에이치에스테크놀로지,01279838,1101110162802.0,2024,20110610,261,,0,,,0,0,0,,,,,,,
(주)에이티에스,01402287,1101110514441.0,2024,20161117,28202,,0,,,0,0,0,,,,,,,
(주)에코앤드림,00619640,1101113085598.0,2024,20040916,204,,0,,,164,162,2,405770507399,221648903638,184121603761,218730537191,487160660,13515181751,104901418831
(주)에코파워팩,01860755,1101116241725.0,2024,20161129,28202,,0,,,0,0,0,,,,,,,
(주)에프에스티,00223434,1101110546006.0,2024,19870929,2629,,0,,,834,804,30,506143782379,244135781322,262008001057,68537295056,2287271800,-1637674189,237408450542
(주)에프테크놀로지,00584274,1101111957195.0,2024,20040726,26211,,0,,,0,0,0,,,,,,,
(주)엑시콘,00611736,1311110058402.0,2024,20010308,29271,,0,,,223,219,4,190783856743,176817320387,13966536356,2476373984,-15897333370,-1358809270,31611346967
(주)엔씨켐,00863533,1101114636639.0,2024,20080306,20499,,0,,,203,201,2,,,,,,,
(주)엔지온,00962269,1244110089476.0,2024,20030801,2612,,0,,,0,0,0,,,,,,,
(주)엔켐,01011526,1101111722803.0,2024,20120216,20119,,0,,,408,375,33,1126929828670,466813156403,660116672267,53502142220,-65334940249,-571164333058,365708579550
(주)엔티에스,01461262,1101110800254.0,2024,20120327,72129,,0,,,0,0,0,,,,,,,
(주)엘앤에프,00398701,1101110665608.0,2024,20000727,28202,,0,,,1643,1643,0,2799831517733,,2076483586372,207877648429,-558685355192,-380729239417,1907478512809
(주)엘에이티,01361245,1201110376633.0,2024,20170919,29272,,0,,,0,0,0,,,,,,,
(주)엘케이엔지니어링,01284441,1311110326700.0,2024,20110303,29271,,0,,,0,0,0,,,,,,,
(주)엘콤,01208973,1101111172793.0,2024,20070201,28202,,0,,,0,0,0,,,,,,,
(주)엠에스텍,01156661,1101111507560.0,2024,19991101,27214,,0,,,0,0,0,,,,,,,
(주)엠엑스앤,01230219,1358110210848.0,2024,20120326,29271,,0,,,0,0,0,,,,,,,
(주)엠케이테크,01736829,1101111889695.0,2024,20010522,29293,,0,,,0,0,0,,,,,,,
(주)엠플러스,00784713,1101110663769.0,2024,20071004,46522,,0,,,0,0,0,,,,,,,
(주)영상테크,01652518,1101112190819.0,2024,20010312,42321,,0,,,0,0,0,,,,,,,
(주)예리코코리아,01817498,1311110239903.0,2024,20090923,29271,,0,,,0,0,0,,,,,,,
(주)예스히팅테크닉스,01545865,1313110095096.0,2024,20100113,29271,,0,,,0,0,0,,,,,,,
(주)예승이엔지,01636097,1314110249485.0,2024,20101101,29271,,0,,,0,0,0,,,,,,,
(주)온새미로,01247422,1101113469130.0,2024,20120110,17105,,0,,,0,0,0,,,,,,,
(주)와이에이치이코퍼레이션,01516438,1244110268020.0,2024,20200601,29271,,0,,,0,0,0,,,,,,,
(주)와이컴,01285884,1101112140905.0,2024,20070829,26129,,0,,,0,0,0,,,,,,,
(주)울텍,00469513,1101112078388.0,2024,20001110,46413,,0,,,0,0,0,,,,,,,
(주)원익피앤이,00785475,1342110063894.0,2024,20040316,281,,0,,,0,0,0,,,,,,,
(주)웨이브피아,01834149,1101113182378.0,2024,20140917,26129,,0,,,0,0,0,,,,,,,
(주)위드텍,01327454,1101112788630.0,2024,20110101,30331,,0,,,0,0,0,,,,,,,
(주)위지트,00258360,1101111373755.0,2024,19970204,29272,,0,,,164,164,0,562412300549,322220286866,240192013683,1883592934,13846626885,1671590407,357760554634
(주)윌비에스엔티,00622990,1243110027098.0,2024,19870103,22249,,0,,,0,0,0,,,,,,,
(주)유니젯,01634309,1101114269745.0,2024,20020919,29272,,0,,,0,0,0,,,,,,,
(주)유에스티,00390620,1101111338999.0,2024,19971013,26,,0,,,0,0,0,,,,,,,
(주)유진테크,00531014,1101114496794.0,2024,20000105,29271,,0,,,316,316,0,539499743575,435742335000,103757408575,9115931685,61177012897,65440277257,338067812312
(주)은일,00534844,1101111908106.0,2024,19941104,292,,0,,,0,0,0,,,,,,,
(주)이노맥스,00926984,1101115065150.0,2024,20050805,29271,,0,,,0,0,0,,,,,,,
(주)이노하이텍,00656544,1211110254812.0,2024,20030114,2629,,0,,,0,0,0,,,,,,,
(주)이솔루션,00967635,1101110718887.0,2024,20061123,22299,,0,,,0,0,0,,,,,,,
(주)이엔에프테크놀로지,00530185,1101111957195.0,2024,20000501,2049,,0,,,586,569,17,723550621048,401394179462,322156441586,86610317730,59332428655,29728683765,582433714374
(주)이엠앤아이,00475718,1101114895350.0,2024,19990930,201,,0,,,23,21,0,,,,,,,
(주)정수이앤씨,01220586,1615110097430.0,2024,20080401,29271,,0,,,0,0,0,,,,,,,
(주)제우스,00442570,1101110338792.0,2024,19881212,29271,,0,,,613,584,29,640931315352,382316626215,258614689137,5863971741,49172349335,43111437491,490785653271
(주)제이디아이,01953231,1101112402652.0,2024,20240418,68112,,0,,,0,0,0,,,,,,,
(주)제이솔루션,01401385,1101112324468.0,2024,20090804,29271,,0,,,0,0,0,,,,,,,
(주)제이에스티,01372995,1101110569074.0,2024,20090105,29271,,0,,,0,0,0,,,,,,,
(주)제이오션,01304143,1101114595900.0,2024,20171017,68121,,0,,,0,0,0,,,,,,,
(주)제이이티,01823329,1101111817654.0,2024,20150827,71511,,0,,,0,0,0,,,,,,,
(주)제이지,00679721,1101111272634.0,2024,20080520,64999,,0,,,0,0,0,,,,,,,
(주)제일하이텍,01213160,1246110289014.0,2024,20020611,20202,,0,,,0,0,0,,,,,,,
(주)준테크,01142978,1101111693814.0,2024,20071119,29172,,0,,,0,0,0,,,,,,,
(주)지앤비에스 에코,00958327,1348110105579.0,2024,20050404,29271,,0,,,133,133,0,135086453187,111375401554,23711051633,12242196861,11648559355,12514385768,70763128588
(주)지에스엠,01060887,1101110734651.0,2024,20080305,07121,,0,,,0,0,0,,,,,,,
(주)진솔루션,01837100,1101111196496.0,2024,20090811,29271,,0,,,0,0,0,,,,,,,
(주)케이엔제이,00769158,1101110883713.0,2024,20050428,261,,0,,,211,209,2,156768549237,71141683707,85626865530,12342219758,14148842880,10770256588,
(주)케이제이,01147308,1101110561773.0,2024,20150415,68122,,0,,,0,0,0,,,,,,,
(주)코스텍시스,00332839,1101111361859.0,2024,19970108,2612,,0,,,0,0,0,,,,,,,
(주)코윈디에스티,00815934,1201110382531.0,2024,20050830,29272,,0,,,0,0,0,,,,,,,
(주)큐에스아이,00411446,1101116641149.0,2024,20000707,2612,,0,,,110,110,0,88543626839,83942667086,4600959753,2697805009,1184535478,3253438320,21363283641
(주)큐엠씨,00816696,1101110953582.0,2024,20030729,2927,,0,,,104,102,2,,,,,,,
(주)탑텍,01152319,1101111540750.0,2024,20000309,25112,,0,,,0,0,0,,,,,,,
(주)태산에프에이,01371190,1355110258745.0,2024,20131128,29272,,0,,,0,0,0,,,,,,,
(주)테스,00837477,1101110542004.0,2024,19980409,4643,,0,,,0,0,0,,,,,,,
(주)텔레칩스,00423177,1101111799513.0,2024,19991029,2611,,0,67340989606,69111154279,475,445,30,377882056447,201741800960,176140255487,-1770164673,4874251656,-38559807022,186615513099
(주)토르,01913057,1101111206584.0,2024,20031126,29171,,0,,,0,0,0,,,,,,,
(주)토마스엔지니어링,01303621,1501110031728.0,2024,19980501,28,,0,,,0,0,0,,,,,,,
(주)트리엔,01679931,1101111740368.0,2024,20030307,29272,,0,,,0,0,0,,,,,,,
(주)티에스,01154575,1101110118459.0,2024,20040401,30121,,0,,,0,0,0,,,,,,,
(주)티에스시,01560396,1101111577810.0,2024,20120614,29271,,0,,,0,0,0,,,,,,,
(주)티에스코퍼레이션,01755444,1101111896335.0,2024,20130313,29271,,0,,,0,0,0,,,,,,,
(주)티엠씨,01452219,1101111247356.0,2024,20070727,72129,,0,,,0,0,0,,,,,,,
(주)티오피,00348858,1101110613144.0,2024,20000502,27,,0,,,0,0,0,,,,,,,
(주)티제이엠,01789034,1101111658959.0,2024,20220525,71531,,0,,,0,0,0,,,,,,,
(주)티티에스,01005507,1101111222043.0,2024,20010420,291,,0,,,0,0,0,,,,,,,
(주)파크시스템,01657054,1101111397648.0,2024,20000516,29271,,0,,,0,0,0,,,,,,,
(주)풍산디에이케이,01497887,1311110300895.0,2024,20120102,28202,,0,,,0,0,0,,,,,,,
(주)풍산시스템,01014082,1301110059154.0,2024,20000401,30,,0,,,0,0,0,,,,,,,
(주)프로텍,00325112,1101110589311.0,2024,19970901,29271,,0,,,289,272,17,376765603603,322807636128,53957967475,5589715068,13443340756,12748104615,170289499168
(주)플라스텍,01766246,1101112587751.0,2024,20020813,46800,,0,,,0,0,0,,,,,,,
(주)피앤엠,01384918,1101112347048.0,2024,20081112,29120,,0,,,0,0,0,,,,,,,
(주)피엔피,01012853,1101110363575.0,2024,20120727,29271,,0,,,0,0,0,,,,,,,
(주)피제이피테크,01369487,1358110106625.0,2024,20040727,261,,0,,,0,0,0,,,,,,,
(주)피토,00976101,1101112028656.0,2024,20031202,29271,,0,,,0,0,0,,,,,,,
(주)필옵틱스,00938721,1351110088083.0,2024,20080205,2927,,0,,,332,322,10,382748068787,238634190326,144113878461,11500649037,13796035047,12941292819,410893768511
(주)하이원텍,01287970,1314110250888.0,2024,20111021,34019,,0,,,0,0,0,,,,,,,
(주)한도금속,01383991,1355110200100.0,2024,20090422,25924,,0,,,0,0,0,,,,,,,
(주)한올테크,00382597,1101110993405.0,2024,19931230,58221,,0,,,0,0,0,,,,,,,
(주)한일하이테크,00909455,1101110695382.0,2024,19980924,2224,,0,,,0,0,0,,,,,,,
(주)현명,01151338,1101111731309.0,2024,20150821,68112,,0,,,0,0,0,,,,,,,
(주)화인세라텍,01656338,1348110571184.0,2024,20200721,26299,,0,,,0,0,0,,,,,,,
H테크,01478332,1647110046109.0,2024,20190816,22241,,0,,,0,0,0,,,,,,,
㈜나노신소재,00439965,1601110094162.0,2024,20000315,2049,,0,,,288,260,28,442216673054,244175095854,198041577200,50006912419,2987662289,-1853023018,87767284001
㈜나인테크,01302987,1101112052382.0,2024,20170515,26223,,0,,,0,0,0,,,,,,,
㈜넥스틴,01080252,1344110044981.0,2024,20100623,29271,,0,,,131,131,0,189816880876,157640068434,32176812442,14735599767,46974727733,38427640891,113719875873
㈜디엔에프,00569691,1101111548671.0,2024,20010105,2049,,0,,,260,260,0,,,,,,,
㈜레이크머티리얼즈,00861854,1101116525723.0,2024,20100513,2049,,0,,,0,0,0,,,,,,,
㈜베이스,01008081,1101110358443.0,2024,20110801,71531,,0,,,0,0,0,,,,,,,
㈜선재하이테크,00342182,1801110323955.0,2024,20000522,2812,,0,,,0,0,0,,,,,,,
㈜쎄노텍,00915784,1101115733509.0,2024,19990514,23993,,0,,,0,0,0,,,,,,,
㈜씨엔티솔루션,01552555,1314110266299.0,2024,20111014,22299,,0,,,0,0,0,,,,,,,
㈜아이에스시,01318678,1101113978834.0,2024,20180313,64999,,0,,,0,0,0,,,,,,,
㈜아이윈,00365624,1101111715527.0,2024,19990206,303,,0,,,66,66,0,130047144320,40901219279,89145925041,1727630721,7901469034,-4120147276,119318697988
㈜야스,00875307,1101111080954.0,2024,20020411,29272,,0,,,234,233,1,175172179748,137355569495,37816610253,1109915997,-9659263709,-10539637663,28632024490
㈜에버켐텍,01370252,1348110192021.0,2024,20100407,20499,,0,,,0,0,0,,,,,,,
㈜에이프로,01292486,1101110036396.0,2024,20100924,2629,,0,,,0,0,0,,,,,,,
㈜엠케이켐앤텍,00448811,1101111928021.0,2024,20000401,2049,,0,,,0,0,0,,,,,,,
㈜엠티아이,00298739,1101111240920.0,2024,19960208,2642,,0,,,0,0,0,,,,,,,
㈜오로스테크놀로지,01016479,1311110104403.0,2024,20031021,292,,0,,,206,206,0,94406434193,68177499303,26228934890,4955826419,6083234932,5906649297,61412173565
㈜오이솔루션,00571483,2001110180384.0,2024,20030807,26410,,0,,,288,288,0,136635554073,74098406711,62537147362,2451717858,-30358233797,-33126633338,32026596164
㈜와이엠텍,01288331,1201110492223.0,2024,20090401,29,,0,,,0,0,0,,,,,,,
㈜웨이비스,01270749,1348110407800.0,2024,20170502,261,,0,,,154,151,3,,,,,,,
㈜이코니,00806051,1101117081287.0,2024,20030318,25924,,0,,,0,0,0,,,,,,,
