기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,매출액,영업이익,당기순이익
(주)에코앤드림,00619640,1101113085598.0,2023,20040916,204,,0,,,100,96,4,154242178124,100890203969,53351974155,32650926175,51455287308,-2967415404,-10150669449
(주)에코파워팩,01860755,1101116241725.0,2023,20161129,28202,,0,,,0,0,0,,,,,,,
(주)에프에스티,00223434,1101110546006.0,2023,19870929,2629,,0,,,737,724,13,408834879367,239774504268,169060375099,30455644818,197608619262,-10782402895,-18103402115
(주)에프테크놀로지,00584274,1101111957195.0,2023,20040726,26211,,0,,,0,0,0,,,,,,,
(주)엑시콘,00611736,1311110058402.0,2023,20010308,29271,,0,,,250,250,0,165985171232,145957832632,20027338600,4210074509,82296331600,1464663636,4886128432
(주)엔씨켐,00863533,1101114636639.0,2023,20080306,20499,,0,,,0,0,0,,,,,,,
(주)엔지온,00962269,1244110089476.0,2023,20030801,2612,,0,,,0,0,0,,,,,,,
(주)엔켐,01011526,1101111722803.0,2023,20120216,20119,,0,,,429,395,34,862895279401,286448635301,576446644100,112879711195,424691399327,3047263237,-50092754334
(주)엔티에스,01461262,1101110800254.0,2023,20120327,72129,,0,,,0,0,0,,,,,,,
(주)엘앤에프,00398701,1101110665608.0,2023,20000727,28202,,0,,,1782,1782,0,3351444610588,,2241456006787,482016761989,4644090367589,-222296651919,-194922089742
(주)엘에이티,01361245,1201110376633.0,2023,20170919,29272,,0,,,53,53,0,,,,,,,
(주)엘케이엔지니어링,01284441,1311110326700.0,2023,20110303,29271,,0,,,0,0,0,,,,,,,
(주)엘콤,01208973,1101111172793.0,2023,20070201,28202,,0,,,0,0,0,,,,,,,
(주)엠에스텍,01156661,1101111507560.0,2023,19991101,27214,,0,,,0,0,0,,,,,,,
(주)엠엑스앤,01230219,1358110210848.0,2023,20120326,29271,,0,,,0,0,0,,,,,,,
(주)엠케이테크,01736829,1101111889695.0,2023,20010522,29293,,0,,,0,0,0,,,,,,,
(주)엠플러스,00784713,1101110663769.0,2023,20071004,46522,,0,,,0,0,0,,,,,,,
(주)영상테크,01652518,1101112190819.0,2023,20010312,42321,,0,,,0,0,0,,,,,,,
(주)예리코코리아,01817498,1311110239903.0,2023,20090923,29271,,0,,,0,0,0,,,,,,,
(주)예스히팅테크닉스,01545865,1313110095096.0,2023,20100113,29271,,0,,,0,0,0,,,,,,,
(주)예승이엔지,01636097,1314110249485.0,2023,20101101,29271,,0,,,0,0,0,,,,,,,
(주)온새미로,01247422,1101113469130.0,2023,20120110,17105,,0,,,0,0,0,,,,,,,
(주)와이에이치이코퍼레이션,01516438,1244110268020.0,2023,20200601,29271,,0,,,0,0,0,,,,,,,
(주)와이컴,01285884,1101112140905.0,2023,20070829,26129,,0,,,0,0,0,,,,,,,
(주)울텍,00469513,1101112078388.0,2023,20001110,46413,,0,,,0,0,0,,,,,,,
(주)원익피앤이,00785475,1342110063894.0,2023,20040316,281,,0,,,0,0,0,,,,,,,
(주)웨이브피아,01834149,1101113182378.0,2023,20140917,26129,,0,,,0,0,0,,,,,,,
(주)위드텍,01327454,1101112788630.0,2023,20110101,30331,,0,,,0,0,0,,,,,,,
(주)위지트,00258360,1101111373755.0,2023,19970204,29272,,0,43298163113,22772930636,154,154,0,257234029073,183753964412,73480064661,20525232477,35232358333,3654906386,-24058585535
(주)윌비에스엔티,00622990,1243110027098.0,2023,19870103,22249,,0,,,0,0,0,,,,,,,
(주)유니젯,01634309,1101114269745.0,2023,20020919,29272,,0,,,0,0,0,,,,,,,
(주)유에스티,00390620,1101111338999.0,2023,19971013,26,,0,,,0,0,0,,,,,,,
(주)유진테크,00531014,1101114496794.0,2023,20000105,29271,,0,,,308,304,4,436989837327,368475409140,68514428187,11767134802,276533350776,24325728964,25397015593
(주)은일,00534844,1101111908106.0,2023,19941104,292,,0,,,0,0,0,,,,,,,
(주)이노맥스,00926984,1101115065150.0,2023,20050805,29271,,0,,,0,0,0,,,,,,,
(주)이노하이텍,00656544,1211110254812.0,2023,20030114,2629,,0,,,0,0,0,,,,,,,
(주)이솔루션,00967635,1101110718887.0,2023,20061123,22299,,0,,,0,0,0,,,,,,,
(주)이엔에프테크놀로지,00530185,1101111957195.0,2023,20000501,2049,,0,,,553,532,21,658600745137,366241945473,292358799664,107019078007,574762367332,24700466058,-23244757125
(주)이엠앤아이,00475718,1101114895350.0,2023,19990930,201,,0,1485672715,1237146816,29,27,0,21673889457,13714881872,7959007585,248525899,26311911772,-1290663885,-386667305
(주)정수이앤씨,01220586,1615110097430.0,2023,20080401,29271,,0,,,0,0,0,,,,,,,
(주)제우스,00442570,1101110338792.0,2023,19881212,29271,,0,,,601,569,28,621696196519,343135608736,278560587783,2489520530,402871359940,7144645762,10025149672
(주)제이디아이,01953231,1101112402652.0,2023,20240418,68112,,0,,,0,0,0,,,,,,,
(주)제이솔루션,01401385,1101112324468.0,2023,20090804,29271,,0,,,0,0,0,,,,,,,
(주)제이에스티,01372995,1101110569074.0,2023,20090105,29271,,0,,,0,0,0,,,,,,,
(주)제이오션,01304143,1101114595900.0,2023,20171017,68121,,0,,,0,0,0,,,,,,,
(주)제이이티,01823329,1101111817654.0,2023,20150827,71511,,0,,,0,0,0,,,,,,,
(주)제이지,00679721,1101111272634.0,2023,20080520,64999,,0,,,0,0,0,,,,,,,
(주)제일하이텍,01213160,1246110289014.0,2023,20020611,20202,,0,,,0,0,0,,,,,,,
(주)준테크,01142978,1101111693814.0,2023,20071119,29172,,0,,,0,0,0,,,,,,,
(주)지앤비에스 에코,00958327,1348110105579.0,2023,20050404,29271,,0,,,116,116,0,,,,,,,
(주)지에스엠,01060887,1101110734651.0,2023,20080305,07121,,0,,,0,0,0,,,,,,,
(주)진솔루션,01837100,1101111196496.0,2023,20090811,29271,,0,,,0,0,0,,,,,,,
(주)케이엔제이,00769158,1101110883713.0,2023,20050428,261,,0,,,196,194,2,126396880483,65129834355,61267046128,5302593726,,12021728068,10761460446
(주)케이제이,01147308,1101110561773.0,2023,20150415,68122,,0,,,0,0,0,,,,,,,
(주)코스텍시스,00332839,1101111361859.0,2023,19970108,2612,,0,,,0,0,0,,,,,,,
(주)코윈디에스티,00815934,1201110382531.0,2023,20050830,29272,,0,,,0,0,0,,,,,,,
(주)큐에스아이,00411446,1101116641149.0,2023,20000707,2612,,0,,,102,102,0,87730180857,82474951356,5255229501,1829975629,18687093091,-4243012697,2711545378
(주)큐엠씨,00816696,1101110953582.0,2023,20030729,2927,,0,,,124,122,2,,,,,,,
(주)탑텍,01152319,1101111540750.0,2023,20000309,25112,,0,,,0,0,0,,,,,,,
(주)태산에프에이,01371190,1355110258745.0,2023,20131128,29272,,0,,,0,0,0,,,,,,,
(주)테스,00837477,1101110542004.0,2023,19980409,4643,,0,,,0,0,0,,,,,,,
(주)텔레칩스,00423177,1101111799513.0,2023,19991029,2611,,0,69111154279,69819394796,379,355,24,374790992226,246197060651,128593931575,-708240517,191094718185,16777001456,62638246233
(주)토르,01913057,1101111206584.0,2023,20031126,29171,,0,,,0,0,0,,,,,,,
(주)토마스엔지니어링,01303621,1501110031728.0,2023,19980501,28,,0,,,0,0,0,,,,,,,
(주)트리엔,01679931,1101111740368.0,2023,20030307,29272,,0,,,0,0,0,,,,,,,
(주)티에스,01154575,1101110118459.0,2023,20040401,30121,,0,,,0,0,0,,,,,,,
(주)티에스시,01560396,1101111577810.0,2023,20120614,29271,,0,,,0,0,0,,,,,,,
(주)티에스코퍼레이션,01755444,1101111896335.0,2023,20130313,29271,,0,,,0,0,0,,,,,,,
(주)티엠씨,01452219,1101111247356.0,2023,20070727,72129,,0,,,0,0,0,,,,,,,
(주)티오피,00348858,1101110613144.0,2023,20000502,27,,0,,,0,0,0,,,,,,,
(주)티제이엠,01789034,1101111658959.0,2023,20220525,71531,,0,,,0,0,0,,,,,,,
