기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,부채,자본,CAPEX,매출액,영업이익,당기순이익
(주)상아프론테크,00181299,1201110038209.0,2019,19860321,222,,0,,,541,508,33,248318384822,104512905708,143805479114,10236522926,186171234240,14886052877,12453879353
(주)선익시스템,00327819,1101110700555.0,2019,19900524,292,,0,,,173,173,0,120131791494,29506188902,90625602592,3463866328,87647565810,11430479238,7145804024
(주)성우,00132974,1101110029680.0,2019,19810407,13213,,0,,,0,0,0,,,,,,,
(주)세다,00621502,1101110032469.0,2019,20000306,42,,0,,,0,0,0,,,,,,,
(주)세미즈,01450187,1358110159971.0,2019,20081124,29271,,0,,,0,0,0,,,,,,,
(주)세코닉스,00351630,1158110006449.0,2019,19881224,273,,0,,,1246,1063,183,357537427599,248204694671,109332732928,28725262236,462244785056,1077835701,-17493670211
(주)셀코스,01024308,1101114587395.0,2019,20070115,29272,,0,,,0,0,0,,,,,,,
(주)셈텍,01212578,1101117870630.0,2019,20001107,292,,0,,,0,0,0,,,,,,,
(주)솔리더스,00546308,1101112243535.0,2019,20010521,68122,,0,,,0,0,0,,,,,,,
(주)스카,00446071,1101110034176.0,2019,19991220,55101,,0,,,0,0,0,,,,,,,
(주)시트라,01828698,1101111067944.0,2019,20200201,31322,,0,,,0,0,0,,,,,,,
(주)신안시스템,01409776,1201110340290.0,2019,20110101,29271,,0,,,0,0,0,,,,,,,
(주)신일테크,01297320,1101114198035.0,2019,20170808,68112,,0,,,0,0,0,,,,,,,
(주)싸이맥스,00659161,1311110153525.0,2019,20051202,29271,,0,,,189,189,0,150525334723,44799942647,105725392076,1372038849,83475335219,1974606051,3170300869
(주)쎄미하우,00655174,1211110098608.0,2019,20020712,2612,,0,,,0,0,0,,,,,,,
(주)쎌텍,01828795,1101111884728.0,2019,20160429,26224,,0,,,0,0,0,,,,,,,
(주)쏘닉스,00561723,1341110078407.0,2019,20001024,26129,,0,,,0,0,0,,,,,,,
(주)씨앤아이테크놀로지,01174922,1341110234017.0,2019,20100321,29271,,0,,,0,0,0,,,,,,,
(주)씨에스케이,00594299,1101111622524.0,2019,19970725,29271,,0,,,0,0,0,,,,,,,
(주)씨에스피,00451879,1101111631575.0,2019,19980512,13211,,0,,,0,0,0,,,,,,,
(주)씨엠티엑스,01529982,2841110111983.0,2019,20130118,26299,,0,,,0,0,0,,,,,,,
(주)씨티에스,01225633,1101110174815.0,2019,20030605,29272,,0,,,0,0,0,,,,,,,
(주)아론,00818010,1101110917819.0,2019,20000711,29271,,0,,,0,0,0,,,,,,,
(주)아센디아,01011386,1345110118859.0,2019,20071017,29271,,0,,,0,0,0,,,,,,,
(주)아이비스,01745191,1101110949416.0,2019,20100222,58221,,0,,,0,0,0,,,,,,,
(주)아이엔에스,00415725,1101110175467.0,2019,19990920,58221,,0,,,0,0,0,,,,,,,
(주)아이컴포넌트,00407285,1301110060490.0,2019,20000512,26211,,0,,,81,81,0,,,,,,,
(주)알파플러스,01130566,1101113235375.0,2019,20000510,29272,,0,,,0,0,0,,,,,,,
(주)애플티,01376025,1311110119204.0,2019,20040626,29271,,0,,,0,0,0,,,,,,,
(주)앤피에스,01471870,1101112244575.0,2019,20180501,26299,,0,,,0,0,0,,,,,,,
(주)에스아이,00247665,1101110088420.0,2019,19840516,68112,,0,,,0,0,0,,,,,,,
(주)에스앤에스텍,00411048,1101115817402.0,2019,20010222,2629,,0,,,206,206,0,,,,,,,
(주)에스에스피,00859053,1101111503451.0,2019,19960620,29271,,0,,,0,0,0,,,,,,,
